borough_id,time_period,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number Tested
1,2005,8245,595,167,64500
1,2006,7272,474,144,67200
1,2007,6174,438,135,68300
1,2008,4254,292,105,69800
1,2009,2742,278,103,70000
1,2010,2625,290,101,70100
1,2011,1996,231,75,70100
1,2012,1396,184,81,66800
1,2013,1312,193,74,65300
1,2014,1186,177,68,63400
1,2015,971,155,61,61700
1,2016,884,162,71,59000
2,2005,15015,1301,448,106800
2,2006,14199,1230,412,103800
2,2007,12622,1002,325,104500
2,2008,8288,777,266,108300
2,2009,6719,698,252,111900
2,2010,6182,707,250,117500
2,2011,5483,595,182,119800
2,2012,4017,460,148,113700
2,2013,3370,380,137,111800
2,2014,2929,412,149,109300
2,2015,2458,423,142,108800
2,2016,2314,376,122,103800
3,2005,4851,324,85,43900
3,2006,4531,268,92,44600
3,2007,3935,203,52,44600
3,2008,2428,190,55,43900
3,2009,1579,129,39,43300
3,2010,1228,133,45,45100
3,2011,992,110,48,44700
3,2012,654,79,32,42700
3,2013,622,68,27,41100
3,2014,539,68,20,38400
3,2015,399,59,19,37500
3,2016,289,46,22,35800
4,2005,8238,750,278,80400
4,2006,7638,694,246,82800
4,2007,6699,550,198,84100
4,2008,4821,471,160,89700
4,2009,3649,403,147,90700
4,2010,3528,400,161,92200
4,2011,2649,353,128,92900
4,2012,1864,286,119,90600
4,2013,1638,239,77,89900
4,2014,1658,271,95,89400
4,2015,1377,244,87,89500
4,2016,1247,203,75,87400
5,2005,990,112,36,14500
5,2006,983,101,34,15600
5,2007,1049,89,35,16500
5,2008,611,73,26,16000
5,2009,528,57,24,15600
5,2010,388,44,9,15900
5,2011,317,43,14,15400
5,2012,246,44,12,14700
5,2013,260,30,10,14700
5,2014,238,31,9,14000
5,2015,164,27,9,13700
5,2016,192,35,10,12900
3,2015,45,7,2,3500
4,2006,556,30,12,6300
3,2008,118,10,0,4300
4,2009,494,62,25,11600
4,2012,119,21,9,6200
,2008,20423,1803,612,328000
3,2010,100,16,4,5700
1,2009,279,29,9,8200
3,2015,42,5,1,4100
3,2014,35,3,0,4200
2,2010,1152,136,44,15800
4,2007,1052,86,37,12600
3,2012,68,10,3,4800
3,2008,273,20,7,5500
3,2012,34,5,1,1600
3,2015,67,9,4,5300
2,2013,387,43,15,12800
4,2012,11,2,0,2200
3,2007,188,10,1,1600
3,2007,405,23,4,5600
2,2014,368,50,16,13700
2,2006,700,46,15,7400
4,2013,81,11,3,4800
2,2005,832,84,28,6500
4,2015,42,10,4,4000
5,2010,59,8,2,4800
1,2010,255,31,14,7300
1,2011,343,43,9,12400
5,2008,74,5,2,5000
2,2016,111,16,6,9200
,2011,11437,1332,447,342900
1,2007,1093,99,22,12100
2,2014,97,8,2,7300
1,2014,115,21,9,6200
2,2008,327,42,16,6400
1,2014,200,32,14,11200
4,2011,149,13,7,8200
4,2009,289,29,9,6600
,2005,37344,3082,1014,310100
2,2005,1035,79,25,8900
2,2013,329,31,11,4500
4,2009,369,47,16,8800
5,2013,28,3,1,4200
1,2009,486,55,20,12100
3,2011,71,12,7,5100
1,2015,83,13,4,7100
3,2009,110,7,1,4300
2,2012,394,47,10,4900
3,2016,6,1,1,1800
5,2013,22,1,1,2300
2,2008,1302,152,51,13500
2,2012,129,13,3,7400
3,2010,144,19,9,4500
4,2013,137,15,5,6800
4,2015,86,18,7,6100
1,2006,1337,103,19,11900
1,2006,1441,89,28,12100
4,2009,1035,126,42,23300
1,2014,191,28,12,10900
5,2013,105,12,4,3300
4,2012,330,41,17,13600
2,2006,786,78,23,4600
2,2016,179,34,12,8500
2,2007,628,35,9,7300
2,2007,699,58,19,6700
4,2010,202,18,6,5400
3,2015,8,0,0,1500
4,2005,204,14,7,3400
2,2008,1237,103,42,15300
2,2009,272,23,6,7500
2,2016,131,33,13,7600
2,2010,701,86,27,12200
2,2005,500,52,21,5900
3,2010,297,36,14,11000
3,2011,50,6,3,1700
2,2015,193,41,14,10200
4,2006,455,33,10,7000
3,2009,158,15,6,4500
5,2011,129,14,6,4900
1,2015,212,38,15,11500
2,2011,670,69,26,14500
5,2011,112,20,5,3500
3,2011,116,12,6,4400
2,2013,120,9,2,7300
2,2007,864,94,19,4700
5,2014,26,2,1,4100
4,2009,164,15,8,5100
4,2007,86,5,2,2000
4,2015,147,21,9,9500
4,2010,247,17,4,6600
3,2009,82,6,0,1500
3,2007,948,57,17,11100
3,2005,256,8,5,4800
3,2014,66,7,4,3800
4,2007,652,47,21,8100
2,2009,281,34,19,6600
2,2007,1566,138,57,12000
4,2014,473,74,17,22400
2,2008,742,68,24,10800
4,2005,1213,123,39,10400
4,2011,29,3,1,2200
3,2007,243,13,2,4800
2,2011,426,49,15,11200
2,2007,1432,112,41,11400
1,2013,201,31,11,11700
3,2013,11,3,2,1600
1,2013,309,57,23,12800
5,2016,80,15,6,4200
3,2012,51,4,3,4800
1,2005,1534,136,37,11300
5,2006,405,47,19,4700
2,2012,887,102,33,16900
1,2011,227,25,11,8500
4,2012,162,18,7,6900
1,2015,217,31,15,12400
1,2008,147,3,1,3200
5,2008,55,1,1,2600
3,2011,65,11,5,5000
1,2007,1288,90,29,13300
1,2005,1085,56,16,7500
4,2010,52,4,1,2200
2,2010,262,25,5,8000
4,2013,13,1,0,2200
5,2007,414,40,14,5000
1,2012,260,29,15,11400
4,2011,128,13,6,5400
2,2006,530,42,12,6200
4,2007,628,47,19,7000
1,2012,148,17,4,8200
3,2009,180,13,3,5500
4,2010,241,23,7,8400
4,2012,529,93,40,23400
3,2005,153,12,1,1800
4,2010,994,151,67,23200
2,2016,216,29,8,4200
1,2006,1251,62,16,11600
3,2009,342,38,15,10900
1,2009,502,52,19,12400
5,2016,65,10,2,2900
4,2007,424,21,8,7400
5,2009,65,11,3,2600
1,2009,85,7,1,3300
1,2016,81,17,9,6700
1,2013,155,19,5,7700
,2010,13951,1574,566,340900
3,2011,129,5,0,4900
1,2005,1697,132,36,13000
3,2014,37,7,1,1300
1,2016,188,26,7,11100
3,2013,121,9,2,5900
5,2007,187,12,3,5300
1,2007,992,73,25,11700
,2009,15224,1565,565,331800
2,2005,701,46,17,7400
3,2006,550,23,9,5000
3,2006,154,10,4,2000
2,2013,183,20,7,9000
3,2006,190,7,2,1500
1,2007,243,13,4,3200
2,2006,770,74,25,6600
4,2011,764,118,44,23400
5,2007,88,4,1,2600
4,2006,218,15,4,3400
2,2014,262,42,19,10600
4,2016,216,41,17,11000
4,2008,1448,152,53,23100
3,2016,14,0,0,3900
2,2008,597,66,21,9400
2,2009,597,72,19,4900
2,2014,161,17,8,9200
5,2007,337,33,17,3400
4,2009,131,9,2,3800
1,2012,130,23,12,6600
1,2005,198,22,4,2800
3,2005,892,60,16,6100
4,2015,10,1,1,2200
3,2016,5,1,1,1600
1,2014,281,48,18,12700
4,2010,459,57,29,11700
2,2006,1595,167,48,10400
2,2012,417,50,17,11200
4,2010,93,11,4,3900
4,2014,119,17,4,8800
4,2016,126,21,8,9200
3,2010,249,22,6,6300
1,2005,1544,112,33,11100
2,2009,504,57,23,11200
3,2012,63,7,3,4200
2,2016,236,37,13,10700
3,2013,163,24,9,9900
4,2007,479,30,6,6200
2,2006,2121,173,62,13900
3,2013,62,4,2,4900
2,2010,284,52,17,7100
2,2011,192,11,3,7900
1,2015,163,24,10,10800
3,2007,151,7,0,1900
1,2009,647,74,31,13900
2,2014,144,18,3,7400
,2012,8179,1053,392,328600
3,2006,762,22,8,4900
3,2010,40,3,2,1600
3,2016,30,3,2,3500
4,2008,65,5,0,2200
5,2016,28,7,2,3700
4,2016,29,1,1,3800
2,2007,662,47,15,6700
4,2009,239,23,9,8200
5,2005,167,15,4,5000
2,2012,163,34,10,6900
3,2006,422,16,6,5500
3,2012,37,4,1,2100
3,2010,172,15,4,4900
1,2008,484,30,15,8300
5,2013,102,14,4,4800
3,2013,37,3,1,1500
3,2012,82,11,5,4600
3,2006,776,42,15,6300
3,2008,271,21,5,4600
2,2014,167,35,11,7300
3,2014,59,8,2,3900
4,2013,111,15,3,8700
3,2015,13,2,2,1900
5,2012,24,2,0,4100
5,2012,97,19,7,4800
3,2006,66,5,1,800
3,2005,209,13,3,1400
1,2009,457,34,11,12200
5,2010,37,5,0,2600
4,2005,1331,128,49,12300
4,2006,681,70,36,7000
2,2011,1061,121,35,17000
3,2013,60,10,7,3900
1,2014,222,33,10,11500
2,2007,863,71,28,9100
1,2011,61,7,2,3400
4,2015,115,16,6,6800
1,2010,516,54,23,12300
2,2015,84,13,2,7200
4,2006,2336,206,80,21200
3,2014,144,22,6,9500
3,2015,28,0,0,1500
4,2009,63,7,2,2200
3,2007,617,42,13,6200
5,2006,182,16,3,5200
4,2008,474,42,11,8800
4,2006,1146,120,40,12300
1,2013,30,4,0,3300
2,2015,264,37,10,11500
1,2012,348,52,22,12900
1,2010,405,53,17,12300
3,2012,179,24,13,10600
3,2014,24,1,0,1700
,2013,7204,910,325,322900
4,2009,291,24,12,6900
4,2014,238,51,25,11000
2,2011,311,31,3,8300
3,2015,15,5,0,1900
4,2013,459,72,21,22900
,2016,4928,822,300,299000
3,2014,54,4,0,4500
4,2013,95,18,8,6100
2,2007,437,35,12,6200
2,2016,158,24,3,9700
3,2015,41,6,1,3800
3,2013,59,8,2,4200
2,2008,476,40,12,7100
,2007,30493,2282,745,318200
1,2009,274,27,12,7500
1,2013,121,21,8,6500
2,2015,139,21,6,9600
4,2016,13,1,0,2200
2,2009,799,80,26,14000
4,2011,452,59,21,14000
2,2012,450,35,13,13400
2,2016,575,86,33,16400
3,2010,48,4,1,2200
3,2014,13,4,0,1800
4,2011,67,4,1,4000
2,2005,2072,178,70,11600
4,2014,45,7,5,4200
4,2014,88,12,5,4900
1,2016,23,5,1,2500
2,2011,452,60,20,11000
2,2008,1094,94,32,13800
,2006,34629,2767,928,313900
2,2006,2442,217,81,15100
4,2011,288,35,14,9700
2,2006,737,48,19,6300
3,2015,28,3,0,4200
2,2010,788,81,33,14600
3,2009,223,8,4,5000
2,2015,265,47,21,13100
1,2008,666,45,11,12100
3,2012,27,3,1,2000
3,2007,186,16,3,2100
2,2008,657,64,21,4800
4,2011,189,35,11,7000
2,2010,518,54,17,10500
5,2009,164,25,11,3400
2,2005,869,71,22,5100
2,2012,217,25,6,7600
2,2008,502,39,11,7500
3,2005,227,12,4,2200
1,2006,1458,120,40,13300
5,2014,100,16,2,3000
4,2007,216,9,6,3500
3,2005,94,5,1,800
5,2009,210,17,7,4800
5,2015,56,7,4,2900
5,2016,19,3,0,2200
2,2005,852,72,26,6700
2,2014,229,23,8,4100
2,2010,348,34,16,8600
2,2015,132,22,4,7700
1,2008,420,33,14,7300
2,2016,88,6,2,6900
3,2011,20,1,1,1600
2,2010,355,49,17,8200
1,2012,273,34,14,12000
2,2016,243,34,12,12200
3,2008,625,63,23,11200
1,2006,828,43,15,7900
2,2009,432,42,15,7800
2,2013,239,32,12,10400
4,2014,97,13,5,6100
2,2015,591,85,25,17000
4,2010,278,26,9,6900
5,2005,108,3,2,2400
4,2016,223,38,13,13100
3,2010,74,7,2,1700
4,2016,50,7,1,4600
4,2008,728,77,30,13400
4,2008,626,70,23,11300
3,2010,51,7,2,2200
5,2008,258,36,12,5000
2,2009,834,72,26,15900
3,2009,289,32,8,6200
3,2010,47,4,1,4900
2,2012,477,69,22,14800
3,2014,88,9,6,5500
1,2010,629,76,21,13900
4,2015,108,15,7,9400
2,2010,434,50,21,11200
5,2006,293,34,11,3300
4,2008,357,28,13,6500
2,2008,925,84,30,11700
4,2014,167,23,6,9500
2,2014,304,38,11,12200
1,2005,826,51,17,6800
3,2005,643,33,12,4900
2,2005,1537,156,59,12000
2,2011,530,65,21,12000
4,2005,641,50,17,6500
3,2016,73,19,6,8200
4,2013,154,17,4,9600
2,2015,200,34,15,9200
5,2012,27,6,3,2400
2,2013,357,52,17,14300
1,2006,714,39,19,6900
1,2010,435,40,11,11900
4,2015,361,65,19,21900
4,2016,74,12,4,9600
3,2011,41,4,3,2200
5,2011,38,7,2,4400
1,2012,193,24,11,12000
5,2010,146,20,6,3600
2,2012,225,24,10,9100
5,2015,22,1,0,4200
4,2012,85,15,3,5000
2,2013,327,36,17,10800
2,2013,169,29,9,7400
3,2008,115,7,0,1500
2,2006,1660,157,54,11900
1,2016,137,34,14,10300
4,2008,312,24,11,8000
4,2008,405,44,7,7200
3,2007,525,16,6,4700
4,2016,345,57,21,21400
3,2008,425,29,11,6200
3,2006,248,22,8,4600
2,2009,765,89,32,11900
2,2013,159,15,8,7200
3,2008,324,15,4,5100
3,2007,527,18,6,5000
2,2011,332,28,10,9300
,2015,5371,908,318,311300
4,2014,136,18,4,6700
3,2006,188,15,3,2200
4,2015,48,7,2,4900
2,2007,2132,155,52,15300
3,2016,26,5,2,3300
5,2015,77,17,4,4400
3,2012,94,10,2,6100
1,2008,809,50,18,12500
1,2014,33,4,2,3200
5,2005,293,44,12,2800
4,2010,563,63,25,13900
2,2014,220,40,17,10200
1,2015,169,22,7,10900
1,2006,179,18,7,2900
2,2011,241,35,11,7100
5,2014,16,2,1,2200
1,2008,951,75,25,13700
4,2012,114,19,9,8400
2,2011,526,53,12,5000
4,2012,262,43,24,11300
4,2015,236,47,19,13300
4,2013,60,4,3,4100
5,2011,37,2,1,2500
4,2005,754,60,30,7000
1,2013,212,30,18,11200
2,2011,727,73,26,16100
5,2006,96,4,1,2400
1,2011,338,25,4,11900
1,2011,380,32,11,12500
4,2011,198,19,4,6600
5,2014,96,11,5,4600
2,2013,780,76,24,17000
3,2009,89,5,2,2200
4,2007,993,133,29,10800
2,2010,519,59,25,5100
1,2007,699,33,10,8100
4,2005,474,29,12,4500
4,2005,735,48,17,7800
5,2008,218,31,11,3300
3,2007,82,1,0,1000
3,2016,15,1,0,1400
1,2010,294,30,12,8400
1,2012,33,5,3,3400
4,2006,422,38,16,4600
2,2008,392,25,6,7400
3,2011,269,35,16,11200
1,2007,632,48,19,7100
3,2008,77,7,2,1900
4,2007,1785,149,63,21200
2,2015,215,28,4,4200
1,2010,74,6,3,3500
3,2016,69,9,5,5100
3,2012,17,1,0,1600
5,2009,85,4,3,4700
3,2016,14,2,2,1800
4,2006,1034,135,35,10300
1,2015,26,10,4,2800
2,2006,919,72,26,9100
4,2010,384,30,9,9400
4,2006,647,41,13,8000
4,2012,54,6,1,4000
2,2012,279,25,10,10600
1,2014,141,11,3,7400
4,2005,103,3,2,1900
2,2016,130,17,3,7200
4,2006,80,4,0,1900
3,2009,32,1,0,1100
3,2011,33,2,1,2100
3,2005,778,42,6,4800
4,2012,193,28,9,9400
3,2011,192,22,6,6300
4,2009,555,61,22,13500
2,2014,702,101,34,17100
2,2005,2528,220,69,16100
2,2005,1767,156,47,10800
3,2005,1089,112,31,10700
,2014,6550,959,341,314500
4,2007,326,21,7,4600
4,2015,220,44,13,11300
1,2011,186,24,12,7100
3,2014,9,3,1,1400
5,2010,145,11,1,5000
1,2007,1179,82,26,12400
2,2016,246,60,17,11100
4,2014,9,2,0,2200
5,2005,421,50,18,4300
2,2005,2214,187,64,14800
1,2015,96,17,6,5900
3,2008,129,16,1,2100
4,2008,228,19,7,5000
3,2015,101,22,9,8800
4,2016,76,14,6,5800
5,2015,9,2,1,2200
5,2012,98,17,2,3400
1,2008,746,56,21,12100
2,2007,1378,116,29,10700
1,2016,158,15,5,10500
4,2016,91,11,4,6500
4,2013,287,47,15,13400
3,2005,427,26,6,5500
4,2005,2267,238,84,19300
4,2014,282,54,24,13500
2,2007,1852,139,44,13700
2,2009,1223,137,51,14300
2,2006,1837,155,47,11600
1,2011,453,75,26,13900
2,2009,378,33,13,7500
2,2013,315,37,15,10600
4,2011,371,54,19,11800
1,2016,83,18,11,5800
2,2014,271,40,20,9900
3,2013,38,2,1,1800
2,2010,801,81,28,16000
4,2008,147,9,5,3600
3,2016,26,5,3,4000
3,2013,39,2,1,4700
4,2005,458,56,21,6700
2,2009,608,59,22,9800
3,2008,42,2,2,1000
2,2015,147,37,12,7800
2,2012,374,36,14,10500
2,2015,223,58,29,11100
3,2009,69,4,0,2000
3,2013,28,3,0,2000
1,2005,1314,86,24,11600
3,2006,1115,104,36,11200
4,2013,239,39,15,11400
1,2013,281,31,9,11800
1,2016,209,47,24,11900